Origin;Destination;Migration Flow
North America;North America;96102
North America;Central America;208668
North America;South America;68240
North America;North Africa;4253
North America;Sub-Saharan Africa;58827
North America;Northern Europe;248379
North America;Western Europe;279267
North America;Southern Europe;551959
North America;Eastern Europe;162959
North America;Central Asia;85259
North America;Western Asia;131288
North America;South Asia;158
North America;East Asia;39145
North America;South-East Asia;41758
North America;Oceania;52303
Central America;North America;3233173
Central America;Central America;215008
Central America;South America;36975
Central America;North Africa;390
Central America;Sub-Saharan Africa;2414
Central America;Northern Europe;42572
Central America;Western Europe;81356
Central America;Southern Europe;190931
Central America;Eastern Europe;4962
Central America;Central Asia;3145
Central America;Western Asia;6236
Central America;South Asia;14
Central America;East Asia;1754
Central America;South-East Asia;510
Central America;Oceania;7541
South America;North America;394674
South America;Central America;26456
South America;South America;600759
South America;North Africa;417
South America;Sub-Saharan Africa;19431
South America;Northern Europe;68645
South America;Western Europe;157063
South America;Southern Europe;1200694
South America;Eastern Europe;18644
South America;Central Asia;5090
South America;Western Asia;32516
South America;South Asia;351
South America;East Asia;110426
South America;South-East Asia;2035
South America;Oceania;28490
North Africa;North America;62193
North Africa;Central America;93
North Africa;South America;692
North Africa;North Africa;57855
North Africa;Sub-Saharan Africa;12512
North Africa;Northern Europe;22807
North Africa;Western Europe;404765
North Africa;Southern Europe;442162
North Africa;Eastern Europe;5437
North Africa;Central Asia;1382
North Africa;Western Asia;367718
North Africa;South Asia;1
North Africa;East Asia;312
North Africa;South-East Asia;340
North Africa;Oceania;6858
Sub-Saharan Africa;North America;478694
Sub-Saharan Africa;Central America;793
Sub-Saharan Africa;South America;10738
Sub-Saharan Africa;North Africa;44230
Sub-Saharan Africa;Sub-Saharan Africa;3717881
Sub-Saharan Africa;Northern Europe;483736
Sub-Saharan Africa;Western Europe;430954
Sub-Saharan Africa;Southern Europe;312329
Sub-Saharan Africa;Eastern Europe;6442
Sub-Saharan Africa;Central Asia;2724
Sub-Saharan Africa;Western Asia;305291
Sub-Saharan Africa;South Asia;243
Sub-Saharan Africa;East Asia;2918
Sub-Saharan Africa;South-East Asia;576
Sub-Saharan Africa;Oceania;149130
Northern Europe;North America;47627
Northern Europe;Central America;2770
Northern Europe;South America;6125
Northern Europe;North Africa;1255
Northern Europe;Sub-Saharan Africa;118260
Northern Europe;Northern Europe;172448
Northern Europe;Western Europe;69445
Northern Europe;Southern Europe;192786
Northern Europe;Eastern Europe;66783
Northern Europe;Central Asia;12912
Northern Europe;Western Asia;41223
Northern Europe;South Asia;2
Northern Europe;East Asia;3595
Northern Europe;South-East Asia;1671
Northern Europe;Oceania;98602
Western Europe;North America;9854
Western Europe;Central America;1040
Western Europe;South America;5396
Western Europe;North Africa;2244
Western Europe;Sub-Saharan Africa;42358
Western Europe;Northern Europe;129499
Western Europe;Western Europe;442833
Western Europe;Southern Europe;507931
Western Europe;Eastern Europe;216677
Western Europe;Central Asia;16722
Western Europe;Western Asia;77710
Western Europe;South Asia;9
Western Europe;East Asia;1108
Western Europe;South-East Asia;4878
Western Europe;Oceania;18763
Southern Europe;North America;713
